"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","Resample_Main_Plot","Resample_3x3_Subplot","Timeframe"
"Mangifera indica","naturally_regenerating",2,">10cm","273B1P1","273B1P1","India","Grow Trees","Control","Control","10x10",1,52,"main","Control_10x10_2","0","0","Y0"
"Butea monosperma","naturally_regenerating",1,">10cm","273B1P1","273B1P1","India","Grow Trees","Control","Control","10x10",2,52,"main","Control_10x10_2","0","0","Y0"
"Inga vera",NA,3,NA,"346","Utm","Mexico","Café Capitan","Control","Control","10x10",3,183,"main","Control_10x10_2","0","0","Y0"
"Diphysa americana",NA,2,NA,"346","Utm","Mexico","Café Capitan","Control","Control","10x10",4,183,"main","Control_10x10_2","0","0","Y0"
"Inga vera",NA,7,NA,"1269","1269+2","Mexico","Café Capitan","Control","Control","10x10",5,185,"main","Control_10x10_2","0","0","Y0"
"Diphysa americano",NA,3,NA,"1269","1269+2","Mexico","Café Capitan","Control","Control","10x10",6,185,"main","Control_10x10_2","0","0","Y0"
"Platanus Mexicana Moric",NA,5,NA,"1269","1269+2","Mexico","Café Capitan","Control","Control","10x10",7,185,"main","Control_10x10_2","0","0","Y0"
"None","don_t_know",NA,">10cm","1757","S0014CP01","Madagascar","CI Madagascar","Restoration","Control","10x10",8,237,"main","Control_10x10_2","0","0","Y0"
"Cacao","Present",3,">10cm","1597","1597","Mexico","CUCOS","Control","Control","10x10",9,2362,"main","Control_10x10_2","0","0","Y0"
"Guarumo","Present",4,">10cm","1597","1597","Mexico","CUCOS","Control","Control","10x10",10,2362,"main","Control_10x10_2","0","0","Y0"
"Palo de hule","Present",2,">10cm","1597","1597","Mexico","CUCOS","Control","Control","10x10",11,2362,"main","Control_10x10_2","0","0","Y0"
